gh_id,paper_doi,reuse_type,comment,citation_number,reused_doi,alt_url,page_num,sect_num
XiaoLing941212,https://doi.org/10.1145/3368089.3409678,method,Spy idea,[33],10.1109/ICDM.2003.1250918,,1106,3.5
XiaoLing941212,https://doi.org/10.1145/3368089.3409678,method,ranking mechanism,[31],10.1145/1095430.1081755,,1107,4
XiaoLing941212,https://doi.org/10.1145/3368089.3409678,method,ranking mechanism,[55],,https://www.usenix.org/system/files/conference/usenixsecurity16/sec16_paper_yun.pdf,1107,4
XiaoLing941212,https://doi.org/10.1145/3368089.3409752,tool,ICE learning framework,[15],,https://link.springer.com/content/pdf/10.1007/978-3-319-08867-9_5.pdf,117,5
XiaoLing941212,https://doi.org/10.1145/3368089.3409752,method,ICE-DT baseline,[16],10.1145/2837614.2837664,,118,5.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409744,method,WAPS,[20],,WAPS: Weighted and Projected Sampling,1120,4
XiaoLing941212,https://doi.org/10.1145/3368089.3409744,method,ecos-icse11,[51],10.1109/ICST.2019.00032,,1120,4.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409744,method,embtoolkit,[29],10.1145/3106237.3106252,,1120,4.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409744,method,FinancialServices01,[50],10.1145/3336294.3336322,,1120,4.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409742,method,reproduce of SM work,[63],10.1145/227607.227610,,1128,1
XiaoLing941212,https://doi.org/10.1145/3368089.3409742,tool,PIT v1.2.0,[10],10.1145/2931037.2948707,,1131,3.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409742,statistical reuse,Spearman's rank correlation coefficient test,[27],10.1016/j.infsof.2017.03.002,,1131,3.2
XiaoLing941212,https://doi.org/10.1145/3368089.3409742,dataset ,SLR ,[75],10.1016/j.jss.2019.07.100,,1131,3.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409742,tool,EvoSuite,[28],10.1109/QSIC.2011.19,,1134,4.4
XiaoLing941212,https://doi.org/10.1145/3368089.3409710,tool,SQLancer,[46],,https://www.usenix.org/system/files/osdi20-rigger.pdf,1145,3.5
XiaoLing941212,https://doi.org/10.1145/3368089.3409710,tool,C-Reduce,[43],10.1145/2254064.2254104,,1146,4.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409694,method,microexecution,[19],10.1145/2568225.2568273,,1157,4.2
XiaoLing941212,https://doi.org/10.1145/3368089.3409694,method,SEMI-NCA,[18],,https://www.cs.princeton.edu/research/techreps/TR-737-05,1160,6
XiaoLing941212,https://doi.org/10.1145/3368089.3409694,tool,capstone,[11],,https://github.com/aquynh/capstone,1160,6
XiaoLing941212,https://doi.org/10.1145/3368089.3409713,method,variational execution,[3],10.1145/2103656.2103677,,1166,1
XiaoLing941212,https://doi.org/10.1145/3368089.3409713,method,variational execution,[53],10.1145/2970276.2970322,,1166,1
XiaoLing941212,https://doi.org/10.1145/3368089.3409713,method,variational execution,[54],10.1145/2568225.2568300,,1166,1
XiaoLing941212,https://doi.org/10.1145/3368089.3409713,tool,VarexC,[75],10.1145/3276487,,1169,3.2
XiaoLing941212,https://doi.org/10.1145/3368089.3409713,method,brute-force search_bf,[17],10.1145/2642937.2643008,,1169,3.2
XiaoLing941212,https://doi.org/10.1145/3368089.3409713,stepping stone,search_gen,[17],10.1145/2642937.2643008,,1169,3.2
XiaoLing941212,https://doi.org/10.1145/3368089.3409713,method,regression test selection technique,[60],10.1016/bs.adcom.2018.03.015,,1173,5.3
afonsohfontes,https://doi.org/10.1145/3368089.3409678,metric,,[31],https://doi.org/10.1145/1095430.1081755,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409678,metric,,[55],,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409678,tool,,[6],,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409694,tool,,[11],,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409694,method,,[18],,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409694,method,,[19],https://doi.org/10.1145/2568225.2568273,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409710,tool,,[43],https://doi.org/10.1145/2254064.2254104,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409710,tool,,[46],,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409713,method,,[17],https://doi.org/10.1145/2642937.2643008,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409713,method,,[17],https://doi.org/10.1145/2642937.2643008,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409713,method,,[3],https://doi.org/10.1145/2103656.2103677,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409713,method,,[53],https://doi.org/10.1145/2970276.2970322,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409713,method,,[54],https://doi.org/10.1145/2568225.2568300,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409713,method,,[60],https://doi.org/10.1016/bs.adcom.2018.03.015,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409713,tool,,[75],https://doi.org/10.1145/3276487,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409722,metric,,[25],https://doi.org/10.1145/2597073.2597122,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409722,metric,,[38],https://doi.org/10.1145/2468356.2468382,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409726,tool,,[21],,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409726,tool,,[31],,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409726,tool,,[5],https://doi.org/10.1145/2799647,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409739,method,,[16],,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409739,method,,[7],https://doi.org/10.1109/SP.2017.49,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409742,tool,,[10],https://doi.org/10.1145/2931037.2948707,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409742,metric,,[27],https://doi.org/10.1016/j.infsof.2017.03.002,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409742,tool,,[28],https://doi.org/10.1109/QSIC.2011.19,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409742,method,,[63],https://doi.org/10.1145/227607.227610,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409744,method,,[20],,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409744,method,,[29],https://doi.org/10.1145/3106237.3106252,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409744,method,,[50],https://doi.org/10.1145/3336294.3336322,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409744,method,,[51],https://doi.org/10.1109/ICST.2019.00032,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409752,tool,,[15],,,,
afonsohfontes,https://doi.org/10.1145/3368089.3409752,method,,[16],https://doi.org/10.1145/2837614.2837664,,,
